apartment_id,apartment_name,legal_dong,gu,household_count,elementary_school_name,school_premium_core_score,school_premium_confidence,representative_area_m2,recent_market_price,baseline_expected_price,school_adjusted_expected_price,estimated_school_premium_pct,estimated_school_premium_amount,model_uncertainty_pct,transaction_count,price_window_used,as_of_date,data_quality_flag
A10026780,래미안장전,장전동,금정구,1938.0,금정초등학교,83.79271523178808,B,59.9383,766000000.0,545731818.9563904,629854362.137689,15.414630457532642,84122543.18129861,7.693640332217551,44.0,6M,2026-08-28,OK
A10020870,양정자이더샵SKVIEW아파트(2단지),양정동,부산진구,2276.0,양정초등학교,83.05761589403974,B,59.9794,717000000.0,568360607.1624187,653928796.5688012,15.055263916615868,85568189.40638244,7.435426614099689,13.0,6M,2026-08-28,OK
A61479902,대원칸타빌멤버스,양정동,부산진구,840.0,양정초등학교,83.05761589403974,B,84.8502,445000000.0,513943961.2503813,591319581.0001361,15.055263916615868,77375619.74975485,7.435426614099689,11.0,6M,2026-08-28,OK
A61274011,경남마리나,우동,해운대구,624.0,해강초등학교,82.99199779249447,B,59.83,800000000.0,440440540.79686666,506608979.319363,15.0232397777873,66168438.52249634,7.435426614099689,12.0,6M,2026-08-28,OK
A61274114,경동,우동,해운대구,892.0,해강초등학교,82.99199779249447,B,84.95,725000000.0,611860012.6796538,703781209.4889178,15.023239777787278,91921196.80926406,7.435426614099689,17.0,6M,2026-08-28,OK
A61278912,대우마리나3,우동,해운대구,750.0,해강초등학교,82.99199779249447,B,84.51,946000000.0,596081686.703327,685632467.7682464,15.023239777787257,89550781.06491947,7.435426614099689,16.0,6M,2026-08-28,OK
A61282215,대우마리나1,우동,해운대구,1164.0,해강초등학교,82.99199779249447,B,84.2249,1130000000.0,576922042.1448498,663594423.8671775,15.023239777787278,86672381.72232771,7.435426614099689,9.0,6M,2026-08-28,OK
A10026391,더블유,용호동,남구,1488.0,분포초등학교,82.85033112582782,B,123.4663,1935000000.0,900091389.6306908,1034692239.0053595,14.954131427687113,134600849.37466872,7.435426614099689,33.0,6M,2026-08-28,OK
A61203016,동신,좌동,해운대구,676.0,부흥초등학교,82.6453642384106,B,55.68,326250000.0,274928878.17837155,315767410.9504752,14.854217222538546,40838532.77210367,7.435426614099689,6.0,6M,2026-08-28,OK
A61203020,건영1,좌동,해운대구,788.0,부흥초등학교,82.6453642384106,B,84.93,507500000.0,428952237.26705533,492669734.3716431,14.854217222538658,63717497.10458779,7.435426614099689,12.0,6M,2026-08-28,OK
